ENSMUSG00000026442	Nfasc
ENSMUSG00000026469	Xpr1
ENSMUSG00000026509	Capn2
ENSMUSG00000026519	Tmem63a
ENSMUSG00000026604	Ptpn14
ENSMUSG00000026623	Lpgat1
ENSMUSG00000026630	Batf3
ENSMUSG00000026696	Vamp4
ENSMUSG00000026748	Plxdc2
ENSMUSG00000026824	Kcnj3
ENSMUSG00000026833	Olfm1
ENSMUSG00000026939	Tmem141
ENSMUSG00000027189	Trim44
ENSMUSG00000027221	Chst1
ENSMUSG00000027276	Jag1
ENSMUSG00000027303	Ptpra
ENSMUSG00000027351	Spred1
ENSMUSG00000027459	Fam110a
ENSMUSG00000027495	Fam210b
ENSMUSG00000027597	Ahcy
ENSMUSG00000027634	Ndrg3
ENSMUSG00000027654	Fam83d
ENSMUSG00000027712	Anxa5
ENSMUSG00000027797	Dclk1
ENSMUSG00000027805	Pfn2
ENSMUSG00000028041	Adam15
ENSMUSG00000028145	Them4
ENSMUSG00000028149	Rap1gds1
ENSMUSG00000028163	Nfkb1
ENSMUSG00000028184	Adgrl2
ENSMUSG00000028194	Ddah1
ENSMUSG00000028195	Ccn1
ENSMUSG00000028207	Asph
ENSMUSG00000028245	Nsmaf
ENSMUSG00000028284	Map3k7
ENSMUSG00000028309	Rnf20
ENSMUSG00000028381	Ugcg
ENSMUSG00000028407	Smim27
ENSMUSG00000028444	Cntfr
ENSMUSG00000028445	Enho
ENSMUSG00000028458	Tesk1
ENSMUSG00000028541	B4galt2
ENSMUSG00000028552	Eps15
ENSMUSG00000028557	Rnf11
ENSMUSG00000028654	Mycl
ENSMUSG00000028664	Ephb2
ENSMUSG00000028755	Cda
ENSMUSG00000028760	Eif4g3
ENSMUSG00000028771	Ptpn12
ENSMUSG00000028782	Adgrb2
ENSMUSG00000028796	Phc2
ENSMUSG00000028799	Zfp362
ENSMUSG00000028962	Slc4a2
ENSMUSG00000029101	Rgs12
ENSMUSG00000029120	Ppp2r2c
ENSMUSG00000029161	Cgref1
ENSMUSG00000029168	Dpysl5
ENSMUSG00000029287	Tgfbr3
ENSMUSG00000029346	Srrd
ENSMUSG00000029376	Mthfd2l
ENSMUSG00000029484	Anxa3
ENSMUSG00000029552	Tes
ENSMUSG00000029648	Flt1
ENSMUSG00000029838	Ptn
ENSMUSG00000029859	Epha1
ENSMUSG00000029864	Gstk1
ENSMUSG00000030008	Pradc1
ENSMUSG00000030022	Adamts9
ENSMUSG00000030064	Frmd4b
ENSMUSG00000030272	Camk1
ENSMUSG00000030281	Il17rc
ENSMUSG00000030313	Dennd5b
ENSMUSG00000030319	Cand2
ENSMUSG00000030339	Ltbr
ENSMUSG00000030341	Tnfrsf1a
ENSMUSG00000030352	Tspan9
ENSMUSG00000030555	Ttc23
ENSMUSG00000030587	2200002D01Rik
ENSMUSG00000030638	Sh3gl3
ENSMUSG00000030653	Gm45837
ENSMUSG00000030688	Stard10
ENSMUSG00000030747	Dgat2
ENSMUSG00000030770	Parva
ENSMUSG00000030878	Cdr2
ENSMUSG00000030930	Chst15
ENSMUSG00000030960	Eef1akmt2
ENSMUSG00000031021	Tmem9b
ENSMUSG00000031119	Gpc4
ENSMUSG00000031134	Rbmx
ENSMUSG00000031137	Fgf13
ENSMUSG00000031217	Efnb1
ENSMUSG00000031246	Sh3bgrl
ENSMUSG00000031428	Zcchc18
