id	sample
GSM3443516	E4.5.5.5_new_Plate3_C07
GSM3443517	E4.5.5.5_new_Plate3_D05
GSM3443518	E4.5.5.5_new_Plate3_E01
GSM3443519	E4.5.5.5_new_Plate3_E02
GSM3443520	E4.5.5.5_new_Plate3_E03
GSM3443521	E4.5.5.5_new_Plate3_E04
GSM3443522	E4.5.5.5_new_Plate3_E09
GSM3443523	E4.5.5.5_new_Plate3_E10
GSM3443524	E4.5.5.5_new_Plate3_E12
GSM3443525	E4.5.5.5_new_Plate3_F01
GSM3443526	E4.5.5.5_new_Plate3_F02
GSM3443527	E4.5.5.5_new_Plate3_F07
GSM3443528	E4.5.5.5_new_Plate3_G01
GSM3443529	E4.5.5.5_new_Plate3_G06
GSM3443530	E4.5.5.5_new_Plate3_G07
GSM3443531	E4.5.5.5_new_Plate3_G08
GSM3443532	E4.5.5.5_new_Plate3_G09
GSM3443533	E4.5.5.5_new_Plate3_G10
GSM3443534	E4.5.5.5_new_Plate3_H02
GSM3443535	E4.5.5.5_new_Plate3_H03
GSM3443536	E4.5.5.5_new_Plate3_H04
GSM3443537	E4.5.5.5_new_Plate3_H05
GSM3443538	E4.5.5.5_new_Plate3_H09
GSM3443539	E4.5.5.5_new_Plate3_H10
GSM3443540	E4.5.5.5_new_Plate4_A01
GSM3443541	E4.5.5.5_new_Plate4_A02
GSM3443545	E4.5.5.5_new_Plate4_A06
GSM3443548	E4.5.5.5_new_Plate4_A09
GSM3443550	E4.5.5.5_new_Plate4_A11
GSM3443551	E4.5.5.5_new_Plate4_A12
GSM3443553	E4.5.5.5_new_Plate4_B02
GSM3443554	E4.5.5.5_new_Plate4_B03
GSM3443556	E4.5.5.5_new_Plate4_B05
GSM3443557	E4.5.5.5_new_Plate4_B06
GSM3443560	E4.5.5.5_new_Plate4_B09
GSM3443561	E4.5.5.5_new_Plate4_B10
GSM3443565	E4.5.5.5_new_Plate4_C02
GSM3443566	E4.5.5.5_new_Plate4_C03
GSM3443569	E4.5.5.5_new_Plate4_C06
GSM3443574	E4.5.5.5_new_Plate4_C11
GSM3443575	E4.5.5.5_new_Plate4_C12
GSM3443577	E4.5.5.5_new_Plate4_D02
GSM3443578	E4.5.5.5_new_Plate4_D03
GSM3443580	E4.5.5.5_new_Plate4_D05
GSM3443581	E4.5.5.5_new_Plate4_D06
GSM3443585	E4.5.5.5_new_Plate4_D10
GSM3443590	E4.5.5.5_new_Plate4_E03
GSM3443592	E4.5.5.5_new_Plate4_E05
GSM3443594	E4.5.5.5_new_Plate4_E07
GSM3443596	E4.5.5.5_new_Plate4_E09
GSM3443598	E4.5.5.5_new_Plate4_E11
GSM3443602	E4.5.5.5_new_Plate4_F03
GSM3443604	E4.5.5.5_new_Plate4_F05
GSM3443605	E4.5.5.5_new_Plate4_F06
GSM3443606	E4.5.5.5_new_Plate4_F07
GSM3443607	E4.5.5.5_new_Plate4_F08
